edad-media,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Separated,  Adm-clerical,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  State-gov,  HS-grad,  Widowed,  Exec-managerial,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
anciano,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Local-gov,  Some-college,  Never-married,  Other-service,  Not-in-family,  White,  Male, si, si, medio-tiempo, nacional, n
adulto,  Private,  Some-college,  Widowed,  Other-service,  Not-in-family,  White,  Female, si, si, medio-tiempo, nacional, n
adulto,  Self-emp-inc,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Divorced,  Adm-clerical,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Wife,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Own-child,  White,  Female, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, extranjero, n
adulto,  Federal-gov,  HS-grad,  Divorced,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Some-college,  Never-married,  Transport-moving,  Not-in-family,  White,  Male, si, no, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Federal-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  State-gov,  Some-college,  Separated,  Adm-clerical,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, y
anciano,  ?,  Assoc-voc,  Widowed,  ?,  Not-in-family,  White,  Female, si, si, medio-tiempo, nacional, n
anciano,  Private,  HS-grad,  Widowed,  Other-service,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
joven,  Self-emp-inc,  Some-college,  Never-married,  Craft-repair,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, no, excesivo, nacional, y
adulto,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Local-gov,  Bachelors,  Divorced,  Protective-serv,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Unmarried,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Never-married,  Other-service,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Tech-support,  Not-in-family,  Black,  Female, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Other-service,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
adulto,  Local-gov,  Bachelors,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, no, excesivo, nacional, y
anciano,  Private,  Bachelors,  Married-civ-spouse,  Protective-serv,  Husband,  White,  Male, no, si, medio-tiempo, nacional, y
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, no, excesivo, nacional, n
edad-media,  Federal-gov,  Assoc-acdm,  Divorced,  Prof-specialty,  Unmarried,  Asian-Pac-Islander,  Female, si, si, excesivo, extranjero, y
anciano,  ?,  HS-grad,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  Some-college,  Never-married,  Farming-fishing,  Own-child,  Black,  Male, si, si, medio-tiempo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Wife,  White,  Female, no, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, y
adulto,  Private,  10th,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Exec-managerial,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  ?,  12th,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  1st-4th,  Widowed,  Other-service,  Unmarried,  White,  Female, si, si, tiempo-completo, extranjero, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  Husband,  Black,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  5th-6th,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, no, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Other-service,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Some-college,  Never-married,  Other-service,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Federal-gov,  Some-college,  Never-married,  Armed-Forces,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Unmarried,  Black,  Female, si, si, excesivo, extranjero, n
adulto,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Transport-moving,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Self-emp-not-inc,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Machine-op-inspct,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Assoc-voc,  Never-married,  Machine-op-inspct,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  5th-6th,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, excesivo, extranjero, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Federal-gov,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  ?,  Some-college,  Never-married,  ?,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
adulto,  Private,  HS-grad,  Divorced,  Adm-clerical,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, extranjero, y
joven,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Doctorate,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  ?,  Assoc-acdm,  Never-married,  ?,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Local-gov,  HS-grad,  Widowed,  Adm-clerical,  Unmarried,  White,  Female, no, si, tiempo-completo, nacional, n
joven,  Private,  Some-college,  Never-married,  Adm-clerical,  Own-child,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  Some-college,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, medio-tiempo, nacional, y
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  ?,  10th,  Never-married,  ?,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, si, si, excesivo, extranjero, n
adulto,  Private,  HS-grad,  Widowed,  Other-service,  Unmarried,  Asian-Pac-Islander,  Female, si, si, excesivo, extranjero, y
joven,  Private,  HS-grad,  Never-married,  Sales,  Own-child,  Black,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Private,  11th,  Never-married,  Other-service,  Unmarried,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Other-relative,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Machine-op-inspct,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Not-in-family,  Black,  Male, si, si, tiempo-completo, nacional, n
adulto,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  Assoc-voc,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Never-married,  Prof-specialty,  Not-in-family,  White,  Female, no, si, medio-tiempo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
anciano,  Private,  Bachelors,  Divorced,  Tech-support,  Own-child,  White,  Female, no, si, medio-tiempo, nacional, n
edad-media,  State-gov,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  State-gov,  Prof-school,  Never-married,  Prof-specialty,  Unmarried,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  Masters,  Married-spouse-absent,  Prof-specialty,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Divorced,  Adm-clerical,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  State-gov,  HS-grad,  Never-married,  Adm-clerical,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  Other,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, extranjero, y
joven,  ?,  11th,  Never-married,  ?,  Own-child,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, y
adulto,  ?,  7th-8th,  Married-civ-spouse,  ?,  Husband,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Self-emp-inc,  Bachelors,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Separated,  Sales,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  5th-6th,  Divorced,  Machine-op-inspct,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Private,  10th,  Never-married,  Craft-repair,  Other-relative,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Tech-support,  Not-in-family,  White,  Male, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Machine-op-inspct,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, y
joven,  Private,  HS-grad,  Never-married,  Other-service,  Not-in-family,  White,  Female, si, si, medio-tiempo, nacional, n
adulto,  Private,  Some-college,  Divorced,  Sales,  Unmarried,  White,  Female, si, si, excesivo, extranjero, n
edad-media,  Federal-gov,  Assoc-voc,  Never-married,  Exec-managerial,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-inc,  HS-grad,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  Wife,  Black,  Female, si, si, excesivo, nacional, n
adulto,  Federal-gov,  Some-college,  Widowed,  Adm-clerical,  Not-in-family,  Black,  Female, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  Asian-Pac-Islander,  Male, no, si, excesivo, extranjero, y
joven,  Private,  10th,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Never-married,  Other-service,  Own-child,  Black,  Male, si, si, excesivo, nacional, n
adulto,  ?,  HS-grad,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  Masters,  Never-married,  Other-service,  Not-in-family,  White,  Female, si, si, tiempo-completo, extranjero, n
edad-media,  Self-emp-inc,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Assoc-voc,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Sales,  Unmarried,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, si, si, excesivo, nacional, n
anciano,  Private,  Masters,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Divorced,  Exec-managerial,  Unmarried,  White,  Female, si, si, excesivo, extranjero, n
edad-media,  Private,  Some-college,  Separated,  Adm-clerical,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Bachelors,  Never-married,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Bachelors,  Never-married,  Prof-specialty,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Handlers-cleaners,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Some-college,  Never-married,  Machine-op-inspct,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Sales,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Some-college,  Divorced,  Exec-managerial,  Other-relative,  White,  Male, si, no, excesivo, extranjero, y
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Male, si, si, excesivo, nacional, n
joven,  Private,  11th,  Never-married,  Other-service,  Own-child,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Tech-support,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Local-gov,  7th-8th,  Married-civ-spouse,  Craft-repair,  Husband,  Black,  Male, si, no, excesivo, extranjero, y
adulto,  Private,  HS-grad,  Divorced,  Sales,  Unmarried,  White,  Female, si, no, tiempo-completo, nacional, n
joven,  Federal-gov,  HS-grad,  Never-married,  Adm-clerical,  Unmarried,  Black,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  10th,  Never-married,  Machine-op-inspct,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  10th,  Never-married,  Transport-moving,  Unmarried,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  Black,  Male, no, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  Masters,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  10th,  Married-civ-spouse,  Handlers-cleaners,  Husband,  White,  Male, no, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
adulto,  Private,  Assoc-acdm,  Married-civ-spouse,  Tech-support,  Husband,  White,  Male, si, si, tiempo-completo, nacional, n
adulto,  Private,  HS-grad,  Divorced,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  ?,  HS-grad,  Divorced,  ?,  Unmarried,  Black,  Female, si, si, tiempo-completo, nacional, n
joven,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  11th,  Divorced,  Sales,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Local-gov,  Assoc-acdm,  Married-civ-spouse,  Craft-repair,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Divorced,  Transport-moving,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  HS-grad,  Widowed,  Other-service,  Unmarried,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  Asian-Pac-Islander,  Male, si, si, excesivo, extranjero, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-not-inc,  10th,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  State-gov,  Some-college,  Married-civ-spouse,  Adm-clerical,  Husband,  Asian-Pac-Islander,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Never-married,  Other-service,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Sales,  Husband,  Black,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Private,  Some-college,  Never-married,  Adm-clerical,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Handlers-cleaners,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-acdm,  Never-married,  Adm-clerical,  Own-child,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  11th,  Divorced,  Other-service,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Federal-gov,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Husband,  Black,  Male, si, si, excesivo, nacional, n
edad-media,  Private,  11th,  Divorced,  Machine-op-inspct,  Unmarried,  Amer-Indian-Eskimo,  Male, si, si, excesivo, extranjero, n
edad-media,  Self-emp-inc,  Bachelors,  Married-civ-spouse,  Farming-fishing,  Husband,  White,  Male, no, si, tiempo-completo, nacional, y
edad-media,  Private,  9th,  Married-civ-spouse,  Other-service,  Wife,  Black,  Female, no, si, tiempo-completo, nacional, n
joven,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, no, excesivo, nacional, y
edad-media,  Private,  Assoc-voc,  Married-civ-spouse,  Machine-op-inspct,  Wife,  White,  Female, si, si, excesivo, extranjero, n
adulto,  Private,  HS-grad,  Divorced,  Exec-managerial,  Not-in-family,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Assoc-voc,  Divorced,  Sales,  Not-in-family,  White,  Male, si, si, excesivo, nacional, y
joven,  ?,  Some-college,  Never-married,  ?,  Own-child,  White,  Female, no, si, medio-tiempo, nacional, n
edad-media,  State-gov,  Some-college,  Never-married,  Protective-serv,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-inc,  10th,  Married-civ-spouse,  Transport-moving,  Wife,  White,  Female, si, si, excesivo, nacional, n
edad-media,  Private,  Bachelors,  Never-married,  Other-service,  Not-in-family,  White,  Male, si, si, excesivo, extranjero, n
edad-media,  Federal-gov,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  Wife,  White,  Female, si, si, excesivo, nacional, y
edad-media,  Self-emp-not-inc,  Masters,  Divorced,  Prof-specialty,  Unmarried,  White,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Husband,  White,  Male, si, si, excesivo, nacional, y
adulto,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  White,  Male, si, no, excesivo, nacional, n
adulto,  ?,  HS-grad,  Married-civ-spouse,  ?,  Husband,  White,  Male, si, si, medio-tiempo, nacional, n
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  Assoc-voc,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Other-service,  Husband,  White,  Male, si, no, excesivo, nacional, y
adulto,  Private,  Assoc-voc,  Married-civ-spouse,  Transport-moving,  Husband,  White,  Male, si, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Sales,  Husband,  White,  Male, no, si, excesivo, nacional, n
edad-media,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
adulto,  Private,  11th,  Widowed,  Transport-moving,  Unmarried,  Black,  Male, si, si, excesivo, nacional, n
joven,  ?,  10th,  Never-married,  ?,  Own-child,  White,  Male, no, si, tiempo-completo, nacional, n
edad-media,  Self-emp-inc,  Masters,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Husband,  Black,  Male, si, si, excesivo, nacional, y
adulto,  Private,  HS-grad,  Widowed,  Adm-clerical,  Unmarried,  Black,  Female, si, si, tiempo-completo, nacional, n
edad-media,  Private,  HS-grad,  Divorced,  Craft-repair,  Not-in-family,  White,  Male, no, si, excesivo, nacional, n
joven,  Private,  Some-college,  Never-married,  Transport-moving,  Not-in-family,  White,  Male, si, si, excesivo, nacional, n
anciano,  ?,  HS-grad,  Widowed,  ?,  Not-in-family,  Black,  Female, si, si, medio-tiempo, nacional, n
edad-media,  Self-emp-inc,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Husband,  White,  Male, si, si, excesivo, nacional, y
edad-media,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  Husband,  White,  Male, no, si, excesivo, nacional, y
edad-media,  Private,  10th,  Never-married,  Machine-op-inspct,  Not-in-family,  Black,  Male, si, si, excesivo, nacional, n
